"Seconds";"Speed";"RPM";"Distance";"Calories";"Pulse";"Watts";"Load";"CurrentSessionLevel";"OriginalLevel";"SessionSkalaModifier";"CurrentSkalaModifier";"ANT_RR";"ANT_InstantHR";"CurrentPicture";"CurrentSessionNumber"
"826";"15.3";"41";"0.3";"4";"0";"44.0";"9";"9";"2";"7";"7";"0.745";"81";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"825";"15.6";"42";"0.3";"4";"0";"46.0";"9";"9";"2";"7";"7";"0.772";"81";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"824";"16.0";"43";"0.3";"4";"0";"48.0";"9";"9";"2";"7";"7";"0.765";"81";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"823";"16.0";"43";"0.3";"4";"0";"48.0";"9";"9";"2";"7";"7";"0.755";"81";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"822";"16.0";"43";"0.3";"4";"0";"48.0";"9";"9";"2";"7";"7";"0.74";"81";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"821";"15.6";"42";"0.3";"4";"0";"46.0";"9";"9";"2";"7";"7";"0.758";"81";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"820";"15.6";"42";"0.3";"4";"0";"46.0";"9";"9";"2";"7";"7";"0.768";"81";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"819";"15.6";"42";"0.3";"4";"0";"46.0";"9";"9";"2";"7";"7";"0.745";"81";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"818";"16.0";"43";"0.3";"4";"0";"48.0";"9";"9";"2";"7";"7";"0.747";"81";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"817";"16.0";"43";"0.3";"4";"0";"48.0";"9";"9";"2";"7";"7";"0.758";"81";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"816";"15.6";"42";"0.3";"4";"0";"46.0";"9";"9";"2";"7";"7";"0.736";"82";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"815";"15.6";"42";"0.3";"4";"0";"46.0";"9";"9";"2";"7";"7";"0.741";"82";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"814";"15.6";"42";"0.3";"5";"0";"46.0";"9";"9";"2";"7";"7";"0.744";"82";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"813";"15.6";"42";"0.3";"5";"0";"46.0";"9";"9";"2";"7";"7";"0.739";"82";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"812";"15.6";"42";"0.3";"5";"0";"46.0";"9";"9";"2";"7";"7";"0.744";"82";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"811";"15.6";"42";"0.4";"5";"0";"46.0";"9";"9";"2";"7";"7";"0.743";"82";"/storage/emulated/0/Documents/images/TE5/0404a.jpg";"13"
"810";"15.3";"41";"0.4";"5";"0";"44.0";"9";"9";"2";"7";"7";"0.741";"82";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"809";"15.3";"41";"0.4";"5";"0";"44.0";"9";"9";"2";"7";"7";"0.737";"82";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"808";"15.3";"41";"0.4";"5";"0";"44.0";"9";"9";"2";"7";"7";"0.748";"82";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"807";"15.6";"42";"0.4";"5";"0";"46.0";"9";"9";"2";"7";"7";"0.737";"83";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"806";"15.6";"42";"0.4";"5";"0";"46.0";"9";"9";"2";"7";"7";"0.745";"82";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"805";"15.3";"41";"0.4";"5";"0";"44.0";"9";"9";"2";"7";"7";"0.741";"82";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"804";"15.6";"42";"0.4";"5";"0";"46.0";"9";"9";"2";"7";"7";"0.737";"83";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"803";"16.0";"43";"0.4";"5";"0";"48.0";"9";"9";"2";"7";"7";"0.739";"83";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"802";"16.0";"43";"0.4";"5";"0";"48.0";"9";"9";"2";"7";"7";"0.722";"83";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"801";"15.6";"42";"0.4";"5";"0";"46.0";"9";"9";"2";"7";"7";"0.737";"83";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"800";"16.0";"43";"0.4";"5";"0";"48.0";"9";"9";"2";"7";"7";"0.721";"83";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"799";"16.0";"43";"0.4";"5";"0";"48.0";"9";"9";"2";"7";"7";"0.727";"84";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"798";"16.4";"44";"0.4";"5";"0";"50.0";"9";"9";"2";"7";"7";"0.725";"84";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"797";"16.0";"43";"0.4";"5";"0";"48.0";"9";"9";"2";"7";"7";"0.708";"84";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"796";"16.0";"43";"0.4";"6";"0";"48.0";"9";"9";"2";"7";"7";"0.723";"84";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"795";"16.0";"43";"0.4";"6";"0";"48.0";"9";"9";"2";"7";"7";"0.717";"84";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"794";"16.0";"43";"0.4";"6";"0";"48.0";"9";"9";"2";"7";"7";"0.719";"84";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"793";"16.0";"43";"0.4";"6";"0";"48.0";"9";"9";"2";"7";"7";"0.721";"85";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"792";"16.0";"43";"0.4";"6";"0";"48.0";"9";"9";"2";"7";"7";"0.708";"85";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"791";"16.0";"43";"0.4";"6";"0";"48.0";"9";"9";"2";"7";"7";"0.722";"85";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"790";"16.0";"43";"0.4";"6";"0";"48.0";"9";"9";"2";"7";"7";"0.709";"85";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"789";"16.4";"44";"0.4";"6";"0";"50.0";"9";"9";"2";"7";"7";"0.719";"85";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"788";"16.4";"44";"0.5";"6";"0";"50.0";"9";"9";"2";"7";"7";"0.719";"85";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"787";"16.4";"44";"0.5";"6";"0";"50.0";"9";"9";"2";"7";"7";"0.711";"85";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"786";"16.4";"44";"0.5";"6";"0";"50.0";"9";"9";"2";"7";"7";"0.721";"85";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"785";"16.4";"44";"0.5";"6";"0";"50.0";"9";"9";"2";"7";"7";"0.705";"86";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"784";"16.4";"44";"0.5";"6";"0";"50.0";"9";"9";"2";"7";"7";"0.719";"86";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"783";"16.4";"44";"0.5";"6";"0";"50.0";"9";"9";"2";"7";"7";"0.706";"86";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"782";"16.0";"43";"0.5";"6";"0";"48.0";"9";"9";"2";"7";"7";"0.715";"86";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"781";"16.0";"43";"0.5";"6";"0";"48.0";"9";"9";"2";"7";"7";"0.72";"86";"/storage/emulated/0/Documents/images/TE5/0417a.jpg";"13"
"780";"16.0";"43";"0.5";"6";"0";"48.0";"9";"9";"2";"7";"7";"0.71";"86";"/storage/emulated/0/Documents/images/TE5/0507a.jpg";"13"
"779";"16.4";"44";"0.5";"7";"0";"50.0";"9";"9";"2";"7";"7";"0.71";"86";"/storage/emulated/0/Documents/images/TE5/0507a.jpg";"13"
